,MDT-O ,Object,Set #,Notes,notes2
2783,048b_1.jpg,landline phone,d,duplicates,delete
2784,049a_1.jpg,old TV,d,"blurry, hard to identify",delete
2785,049b_1.jpg,old TV,d,"blurry, hard to identify",delete
2786,050a_1.jpg,umbrella,d,duplicates,delete
2787,050b_1.jpg,umbrella,d,duplicates,delete
2794,054a_2.jpg,?,d,hard to identify,delete
2795,054b_2.jpg,?,d,hard to identify,delete
2796,055a_2.jpg,gardening gloves,d,duplicate,delete
2797,055b_2.jpg,gardening gloves,d,duplicate,delete
2800,057a_1.jpg,tape measure,d,duplicates,delete
2801,057b_1.jpg,tape measure,d,duplicates,delete
2810,062a_2.jpg,coax cable,d,duplicates,delete
2811,062b_2.jpg,coax cable,d,duplicates,delete
2812,063a_2.jpg,snail shell,d,duplicates,delete
2813,063b_2.jpg,snail shell,d,duplicates,delete
2814,064a_2.jpg,plunger,d,duplicates,delete
2815,064b_2.jpg,plunger,d,duplicates,delete
2822,068a_2.jpg,shopping cart,d,duplicates,delete
2823,068b_2.jpg,shopping cart,d,duplicates,delete
2824,069a_2.jpg,floppy disk,d,duplicates,delete
2825,069b_2.jpg,floppy disk,d,duplicates,delete
2832,073a_2.jpg,lighter,d,duplicates,delete
2833,073b_2.jpg,lighter,d,duplicates,delete
2836,075a_1.jpg,bunny,d,Duplicate from set 2 #001,delete
2837,075b_1.jpg,bunny,d,Duplicate from set 2 #001,delete
2840,077a_2.jpg,fall leaf,d,similar,delete
2841,077b_2.jpg,fall leaf,d,similar,delete
2846,080a_2.jpg,paper plane,d,hard to see,delete
2847,080b_2.jpg,paper plane,d,hard to see,delete
2848,081a_1.jpg,garden drawf,d,duplicates,delete
2849,081b_1.jpg,garden dwarf,d,duplicates,delete
2850,082a_1.jpg,box,d,blurry,delete
2851,082b_1.jpg,box,d,blurry,delete
2852,083a_1.jpg,toilet,d,duplicates,delete
2853,083b_1.jpg,toilet,d,duplicates,delete
2854,084a_1.jpg,loaded baked potato,d,hard to identify,delete
2855,084b_1.jpg,loaded baked potato,d,hard to identify,delete
2856,085a_2.jpg,power jig saw,d,Duplicate from set 3 image #117,delete
2857,085b_2.jpg,power jig saw,d,Duplicate from set 3 image #117,delete
2858,086a_1.jpg,large stapler,d,hard to identify,delete
2859,086b_1.jpg,large stapler,d,hard to identify,delete
2862,088a_1.jpg,door mat,d,duplicates,delete
2863,088b_1.jpg,door mat,d,duplicates,delete
2866,090a_1.jpg,motorcycle,d,duplicates,delete
2867,090b_1.jpg,motorcycle,d,duplicates,delete
2868,091a_2.jpg,gravy boat,d,duplicates,delete
2869,091b_2.jpg,gravy boat,d,duplicates,delete
2872,093a_2.jpg,desk lamp,d,duplicates,delete
2873,093b_2.jpg,desk lamp,d,duplicates,delete
2874,094a_1.jpg,seahorse,d,duplicates,delete
2875,094b_1.jpg,seahorse,d,duplicates,delete
2878,096a_1.jpg,pickle,d,duplicates,delete
2879,096b_1.jpg,pickle,d,duplicates,delete
2880,097a_1.jpg,swimming goggles,d,duplicates,delete
2881,097b_1.jpg,swimming goggles,d,duplicates,delete
2888,101a_2.jpg,measuring stick,d,blurry image,delete
2889,101b_2.jpg,measuring stick,d,blurry image,delete
2890,102a_1.jpg,plastic bin,d,Duplicate from set 4 image #03,delete
2891,102b_1.jpg,plastic bin,d,Duplicate from set 4 image #03,delete
2892,103a_1.jpg,globes,d,blurry image,delete
2893,103b_1.jpg,globes,d,blurry image,delete
2898,106a_2.jpg,flashlight,d,similar ,delete
2899,106b_2.jpg,flashlight,d,similar ,delete
2902,108a_1.jpg,picnic box,d,duplicates,delete
2903,108b_1.jpg,picnic box,d,duplicates,delete
2908,111a_1.jpg,chocolate chip cookie,d,duplicates,delete
2909,111b_1.jpg,chocolate chip cookie,d,duplicates,delete
2910,112a_1.jpg,weight,d,hard to identify,delete
2911,112b_1.jpg,weight,d,hard to identify,delete
2912,113a_2.jpg,silver candle stick,d,duplicates,delete
2913,113b_2.jpg,silver candle stick,d,duplicates,delete
2914,114a_1.jpg,traffic cone,d,duplicates,delete
2915,114b_1.jpg,traffic cone,d,duplicates,delete
2916,115a_2.jpg,manual pump,d,Duplicate from set 1 image 187,delete
2917,115b_2.jpg,manual pump,d,Duplicate from set 1 image 187,delete
2918,116a_2.jpg,bonbons,d,duplicates,delete
2919,116b_2.jpg,bonbons,d,duplicates,delete
