index,MDT-O ,Object,Set #,Lure Rating,Notes
647,140b_2.jpg,car,2,3,
648,141a_2.jpg,cane,2,,
649,141b_2.jpg,cane,2,4,
650,142a_2.jpg,electric shaver,2,,
651,142b_2.jpg,electric shaver,2,2,
652,143a_1.jpg,stethoscope,2,,
653,143b_1.jpg,stethoscope,2,1,
654,144a_1.jpg,toaster,2,,
655,144b_1.jpg,toaster,2,3,
656,145a_1.jpg,lunch box,2,,
657,145b_1.jpg,lunch box,2,4,
658,146a_2.jpg,snowflake,2,,
659,146b_2.jpg,snowflake,2,3,
660,148a_1.jpg,gloves,2,,
661,148b_1.jpg,gloves,2,2,
662,149a_2.jpg,binder,2,,
663,149b_2.jpg,binder,2,1,
664,150a_2.jpg,sugar cube,2,,
665,150b_2.jpg,sugar cube,2,5,
666,151a_2.jpg,guava,2,,
667,151b_2.jpg,guava,2,4,
668,152a_1.jpg,nutcracker,2,,
669,152b_1.jpg,nutcracker,2,3,
670,153a_2.jpg,gavel,2,,
671,153b_2.jpg,gavel,2,1,
672,154a_2.jpg,saw blade,2,,
673,154b_2.jpg,saw blade,2,1,
674,156a_2.jpg,wind vane,2,,
675,156b_2.JPG,wind vane,2,3,
676,157a_2.jpg,hair straightener,2,,
677,157b_2.jpg,hair straightener,2,5,
678,158a_1.jpg,helicopter,2,,
679,158b_1.jpg,helicopter,2,5,
680,159a_1.jpg,lock,2,,
681,159b_1.jpg,lock,2,3,
682,160a_1.jpg,shoe,2,,
683,160b_1.jpg,shoe,2,1,
684,161a_1.jpg,wind chime,2,,
685,161b_1.jpg,wind chime,2,5,
686,162a_2.jpeg,parakeet,2,,
687,162b_2.jpg,parakeet,2,5,
688,163a_2.jpg,dominos,2,,
689,163b_2.jpg,dominos,2,3,
690,164a_1.jpg,plunger,2,,
